time,ais_frequency,resonance,beat_frequency,intermod_frequency,topology_mismatch,spike_rate,scorch_depth,noise_level,island_Delta_power,island_Delta_freq,island_Theta_power,island_Theta_freq,island_Alpha_power,island_Alpha_freq,island_Beta_3_power,island_Beta_3_freq,island_Beta_power,island_Beta_freq,island_Gamma_power,island_Gamma_freq
10.0,5.807710390831979,0.4789092732756364,0.19228960916802063,1.9038551954159897,0.6654858942199101,138.0,0.005881641243857358,0.1,0.0,2,0.3345141057800899,6,0.3800731185315595,10,0.2101519795735765,15,0.013764334196915804,22,0.06149646166857091,40
10.5,3.8788343355134467,0.2227888680948416,1.8788343355134467,1.0605828322432767,1.0,42.0,0.005869883843010887,0.1,0.0,2,0.20253855799747084,6,0.5199231444312699,10,0.18817249325189814,15,0.051351614599603676,22,0.03801418956284771,40
11.0,6.928497586283843,0.46303497268863436,0.9284975862838429,1.5357512068580785,0.8725240516706485,67.0,0.005858149945208708,0.1,0.0,2,0.12747594832935144,6,0.5675113345903637,10,0.20559883164049447,15,0.06395694734552802,22,0.035456937977264784,40
11.5,8.166837656993783,0.6643150868389859,1.833162343006217,1.0834188284968915,0.3103645451900897,142.0,0.005846439503468235,0.1,0.0,2,0.10696993102793956,6,0.6896354548099103,10,0.13002245472634494,15,0.03694237903289624,22,0.036429780285483014,40
12.0,8.76176711723816,0.6922630607991541,1.2382328827618405,1.3808835586190797,0.30518919693977853,146.0,0.005834752470900801,0.1,0.0,2,0.05305290104721837,6,0.6948108030602215,10,0.1690262590373488,15,0.041065160274418394,22,0.04204487648285667,40
12.5,9.999999999999998,0.6749170842305132,1.7763568394002505e-15,1.9999999999999991,0.39363961655653334,139.5,0.005823088800711471,0.1,0.0,2,0.05760428601170295,6,0.6063603834434667,10,0.1798425037933861,15,0.09165035466503912,22,0.06454247200753861,40
13.0,10.0,0.7255887090828569,0.0,2.0,0.32550281922376445,143.5,0.007274266218877184,0.1,0.0,2,0.0330237710679447,6,0.6744971807762355,10,0.15034205168007114,15,0.0802696959893444,22,0.061867300392842266,40
13.5,9.999999999999998,0.7563708102060749,1.7763568394002505e-15,1.9999999999999991,0.3049402495740644,158.0,0.008787007839289334,0.1,0.0,2,0.038649646705946256,6,0.6950597504259356,10,0.18210009625682438,15,0.04368228872013118,22,0.04050821777116193,40
14.0,10.328979681195248,0.7166838794006825,0.3289796811952481,2.164489840597624,0.35496723651450945,174.0,0.010220375598090697,0.1,0.0,2,0.056709146223347835,6,0.6450327634854905,10,0.1863984539892304,15,0.06012255161378373,22,0.05173708454128842,40
14.5,5.953079831788936,0.30733183976031136,0.04692016821106382,1.976539915894468,0.9338488745117186,52.5,0.010199945067270113,0.1,0.0,2,0.06615112548828136,6,0.5936020887795124,10,0.20919810370491837,15,0.07105657057282573,22,0.05999211128657208,40
15.0,8.47278115005961,0.5370810338268985,1.5272188499403896,1.2363905750298052,0.47411627837595827,115.0,0.010179555377080641,0.1,0.0,2,0.07586023878719973,6,0.5258837216240417,10,0.2249681719668804,15,0.09627358075222876,22,0.07701428667725646,40
